"","id","site.id","neighborhood","pitstop.type","intervention.type","start.date","week.start","distance.km","count","week.end","site","pre.start","post.start","intervention","time","month"
"30",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-08-13,"0.1",25,2014-08-20,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",31,"8"
"31",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-08-20,"0.1",30,2014-08-27,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",32,"8"
"32",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-08-27,"0.1",21,2014-09-03,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",33,"8"
"33",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-09-03,"0.1",19,2014-09-10,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",34,"9"
"34",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-09-10,"0.1",19,2014-09-17,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",35,"9"
"35",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-09-17,"0.1",11,2014-09-24,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",36,"9"
"36",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-09-24,"0.1",19,2014-10-01,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",37,"9"
"37",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-01,"0.1",17,2014-10-08,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",38,"10"
"38",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-08,"0.1",11,2014-10-15,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",39,"10"
"39",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-15,"0.1",16,2014-10-22,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",40,"10"
"40",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-22,"0.1",10,2014-10-29,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",41,"10"
"41",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-29,"0.1",9,2014-11-05,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",42,"10"
"42",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-11-05,"0.1",18,2014-11-12,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",43,"11"
"43",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-11-12,"0.1",19,2014-11-19,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",44,"11"
"44",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-11-19,"0.1",13,2014-11-26,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",45,"11"
"45",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-11-26,"0.1",11,2014-12-03,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",46,"11"
"46",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-12-03,"0.1",12,2014-12-10,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",47,"12"
"47",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-12-10,"0.1",9,2014-12-17,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",48,"12"
"48",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-12-17,"0.1",16,2014-12-24,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",49,"12"
"49",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-12-24,"0.1",16,2014-12-31,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",50,"12"
"50",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-12-31,"0.1",14,2015-01-07,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",51,"12"
"51",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2015-01-07,"0.1",9,2015-01-14,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",52,"1"
"52",1,"1","Tenderloin","Portable","New Restroom Installed",2014-07-15,2015-01-14,"0.1",20,2015-01-21,"133 Golden Gate Ave",2014-01-15,2015-01-15,"1",53,"1"
"53",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-01-15,"0.1",6,2014-01-22,"101 Hyde St",2014-01-15,2015-01-15,"0",1,"1"
"54",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-01-22,"0.1",14,2014-01-29,"101 Hyde St",2014-01-15,2015-01-15,"0",2,"1"
"55",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-01-29,"0.1",18,2014-02-05,"101 Hyde St",2014-01-15,2015-01-15,"0",3,"1"
"56",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-02-05,"0.1",14,2014-02-12,"101 Hyde St",2014-01-15,2015-01-15,"0",4,"2"
"57",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-02-12,"0.1",11,2014-02-19,"101 Hyde St",2014-01-15,2015-01-15,"0",5,"2"
"58",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-02-19,"0.1",16,2014-02-26,"101 Hyde St",2014-01-15,2015-01-15,"0",6,"2"
"59",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-02-26,"0.1",11,2014-03-05,"101 Hyde St",2014-01-15,2015-01-15,"0",7,"2"
"60",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-03-05,"0.1",14,2014-03-12,"101 Hyde St",2014-01-15,2015-01-15,"0",8,"3"
"61",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-03-12,"0.1",14,2014-03-19,"101 Hyde St",2014-01-15,2015-01-15,"0",9,"3"
"62",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-03-19,"0.1",21,2014-03-26,"101 Hyde St",2014-01-15,2015-01-15,"0",10,"3"
"63",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-03-26,"0.1",13,2014-04-02,"101 Hyde St",2014-01-15,2015-01-15,"0",11,"3"
"64",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-04-02,"0.1",15,2014-04-09,"101 Hyde St",2014-01-15,2015-01-15,"0",12,"4"
"65",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-04-09,"0.1",31,2014-04-16,"101 Hyde St",2014-01-15,2015-01-15,"0",13,"4"
"66",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-04-16,"0.1",22,2014-04-23,"101 Hyde St",2014-01-15,2015-01-15,"0",14,"4"
"67",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-04-23,"0.1",16,2014-04-30,"101 Hyde St",2014-01-15,2015-01-15,"0",15,"4"
"68",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-04-30,"0.1",11,2014-05-07,"101 Hyde St",2014-01-15,2015-01-15,"0",16,"4"
"69",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-05-07,"0.1",24,2014-05-14,"101 Hyde St",2014-01-15,2015-01-15,"0",17,"5"
"70",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-05-14,"0.1",26,2014-05-21,"101 Hyde St",2014-01-15,2015-01-15,"0",18,"5"
"71",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-05-21,"0.1",22,2014-05-28,"101 Hyde St",2014-01-15,2015-01-15,"0",19,"5"
"72",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-05-28,"0.1",26,2014-06-04,"101 Hyde St",2014-01-15,2015-01-15,"0",20,"5"
